gene	positivePosteriorProb	negativePosteriorProb	FDR
ADCY6	0.027569648606088	0.0901847622011948	0.672984022253081
ADCY7	0.0206306814512905	0.0647311393370654	0.772355745587495
ADCY8	0.0260426911336008	0.0664637649862419	0.755310500603282
ADCY9	0.0264063407372661	0.0729453912751768	0.732593309208349
ADCYAP1	0.024552712594948	0.0747714697746107	0.73268400149083
ADD1	0.0195867625467083	0.0484883936298968	0.782610704642048
ADH1A	0.0256793899388057	0.0626359650730197	0.766541814282331
ADH6	0.0277980433963848	0.0985477767790785	0.647623786879896
ADH7	0.026667930293574	0.0762048343673161	0.720694042137911
ADHFE1	0.0326143477330681	0.115522096580426	0.594232596022718
ADIRF	0.0281484954003532	0.0810351365555737	0.700146088864119
ADM2	0.0278748795843798	0.103929358905554	0.633193895649835
ADM	0.0210802397982957	0.0633360977200445	0.773858180491058
ADPRHL1	0.0263598081656792	0.0721866309787885	0.735087316346765
ADSS	0.0586948881519073	0.478586190205918	0.145622603176574
AFAP1L2	0.02395482350498	0.0887645460130486	0.689380190458256
AFF1	0.0223725357745537	0.100499418365887	0.657371820702859
AFF3	0.3485162065279	0.133648670956369	0.185035343370238
AFF4	0.0332047177538276	0.168512071605737	0.490257457946072
AFMID	0.0259064019095009	0.0650527870574839	0.759683481726188
AFP	0.0298591357060011	0.106343530284934	0.62174575833783
AGAP2	0.0257951342703285	0.0650588998493504	0.760045192745734
AGFG2	0.0262875397917195	0.0696936979846995	0.743942269339795
AGPAT2	0.02806614149451	0.0835658373308974	0.692890845221818
AGT	0.0285966510501221	0.0988383434053282	0.644320496154539
AHCYL2	0.0289165678226261	0.121302918576474	0.589299358265662
AHNAK	0.0284353576374123	0.105835322787272	0.626549081925611
AHR	0.0257741387580001	0.0632290380413925	0.764984554292431
AICDA	0.0257134767512852	0.0635423483276962	0.764319838582617
AIF1	0.0266917009269002	0.0776364356189228	0.716033188242534
AIFM1	0.0263187394857611	0.0704347160040909	0.741325847063785
AIFM2	0.0194366124893686	0.0492559890226177	0.782243136407385
AIM1	0.0272232347883714	0.0805140053116602	0.704956073734732
AJUBA	0.0257074405024974	0.0920614334469143	0.672906424069876
AKAP2	0.025912066928096	0.0914784665988494	0.674218757840469
AKR1C1	0.0201396126194022	0.0611682915405069	0.776531812992637
AKR1C2	0.0208871246192218	0.0635750522535708	0.773741122309014
AKR1C3	0.028922324035141	0.0681973934058429	0.739891522994283
AKR1C4	0.0303478571726746	0.0833472258409632	0.686294703403814
AKR1D1	0.0292746346317374	0.0924899645692514	0.660774036693536
ALAD	0.0295495486448492	0.141794476027224	0.544379905163671
ALCAM	0.0263319613611853	0.0721168469729409	0.735484699102898
ALDH1A1	0.0693975602342519	0.349929898395342	0.235729674266396
ALDH1A3	0.12250752647414	0.196233125012791	0.326887370120786
ALDH2	0.0408537015409771	0.181476591683448	0.459451481290293
ALDH3B2	0.0230052743092104	0.0930560033353524	0.678446546446062
ALDH6A1	0.0467257659796972	0.192699537122034	0.434053030399694
ALDH7A1	0.0280186434684921	0.0881787230150039	0.678025400068529
ALDOA	0.0155416543290629	0.0402325129252822	0.78714439829951
ALDOB	0.0257224491264937	0.0629766969641498	0.765739938401116
ALDOC	0.0221042446000997	0.0717560644898601	0.751217105987654
ALG12	0.033782709908065	0.159769542161322	0.504132022927148
ALKBH2	0.0311036265727305	0.150204354736622	0.52499358902376
ALKBH3	0.0265889292761633	0.0760646684015304	0.721507370701391
ALMS1	0.0271538935428795	0.0797503223606279	0.70766043537715
ALOX12	0.036301121896172	0.186962156671266	0.458044654853688
ALOX15B	0.0285794080313023	0.106067155726651	0.62534421967347
ALOX15	0.0516438416936472	0.107054400285549	0.571307689626434
ALPP	0.0263351447279752	0.0711022273099931	0.738946705750661
ALS2	0.0419671297546501	0.392756461720152	0.222591425102584
AMBP	0.0346601664044934	0.201276832303072	0.439636365669784
AMD1	0.0987191428002352	0.553765864602047	0.0818350481483275
AMER1	0.0283618569260254	0.102913266995639	0.634679509263007
AMER2	0.0188678753388483	0.0431165315032925	0.785555879680366
AMFR	0.0259409438037142	0.0668561508074988	0.754403053226298
AMH	0.336619162015038	0.0731686652111078	0.243157689520714
AMPD1	0.0277527486841487	0.0932645970306225	0.662667414093026
AMPD2	0.0183755701767458	0.0376755300530465	0.787104937093592
AMPD3	0.018949048229382	0.0445017238584416	0.78506281706031
ANAPC10	0.0271881363598931	0.0817454609773586	0.70106756891548
ANAPC11	0.0164900194349548	0.0500611908049359	0.783499499823015
ANAPC13	0.0635428782853776	0.426654790741103	0.178449875635539
ANAPC1	0.0190518382095297	0.0455064723930068	0.784532044580259
ANAPC2	0.0272530112614304	0.0888808029658944	0.678273310076348
ANAPC4	0.999968218010002	0.975376913178486	0
ANAPC5	0.15571585114966	0.576502690054658	0.0463701325781955
ANAPC7	0.0308908505545611	0.116463075192853	0.596095344071528
ANGEL1	0.0259658660496436	0.0675224775639575	0.752401789287539
ANGPT1	0.0260717199168883	0.0677875978231271	0.75124194541594
ANGPT2	0.0266584072854826	0.0653026761611855	0.756923972511973
ANGPTL1	0.0247867676927606	0.0608502479808524	0.771859994378242
ANG	0.020299804258929	0.0576214309912817	0.777830953985068
ANLN	0.0187292919335505	0.042289644725147	0.785943552991912
ANO3	0.0203946670054924	0.0549063233125079	0.779153753982712
ANP32B	0.72846909218346	0.990592247234254	0
ANPEP	0.0264551845143481	0.071882420621157	0.735909671751699
ANXA1	0.0212329375786584	0.0629397844894843	0.77419883100513
ANXA4	0.0271236851423467	0.0838277733804787	0.695037895431191
ANXA8	0.0281271132848443	0.0977005841968496	0.649152962524497
AOC2	0.0266473937402252	0.0757400924672624	0.722681740651937
AOC3	0.0264644588092766	0.0719356955713891	0.735675446194954
APAF1	0.0293139755162442	0.186216895072014	0.47000278071712
APBB1IP	0.0257386718402947	0.0635059394214299	0.764373630711215
APBB1	0.0265712779802069	0.0754343820908998	0.72387566445231
APBB2	0.0264615281570797	0.073240024011433	0.731360661678763
APC2	0.0217460200541589	0.0851095288608187	0.707871599702385
APCDD1L	0.033658688261973	0.185156405965179	0.464401879139627
APC	0.0202162166207907	0.0620898088469861	0.776032879676077
APEX1	0.0363769125963071	0.132028153142947	0.549806636147344
APEX2	0.0431326894366268	0.393013498380672	0.22183780222571
API5	0.027285026364166	0.082643090788192	0.698071303566016
APLF	0.0265488522709066	0.0725485495965667	0.733391688276726
APOBEC3A	0.0194943790027132	0.0517430138857614	0.781063797578138
APOBEC3C	0.0418215917444057	0.303318959881318	0.2981891000776
APOBEC4	0.0379229005233897	0.153541121907073	0.50756851513815
APOD	0.0399274924194737	0.31524917387124	0.290069010365159
APPL1	0.0273374426743905	0.0812682084006503	0.702042392603049
APPL2	0.0269693510816957	0.0774577655319863	0.715712641902815
APP	0.0278885864183769	0.0917283779831943	0.666998377284628
APTX	0.0168123054827461	0.0372231481117062	0.787352638242144
AQP1	0.025706079531824	0.0625337939891727	0.76683547381513
AQR	0.999999998222978	0.999446070942985	0
ARAP1	0.0576163390881513	0.0754869920751489	0.629749171127999
AREG	0.0265844232340746	0.0762142562147783	0.720999801056118
ARG1	0.0261293889468934	0.067049784702588	0.753401842661581
ARG2	0.0257566143007	0.0641815100820854	0.762581320384595
ARGLU1	0.774960431432663	0.94810687686513	0
ARHGAP11A	0.0330414149705108	0.169492980804624	0.489023433188235
ARHGAP20	0.0171204010918901	0.0484261685166198	0.784011033543015
ARHGAP25	0.0347115816664276	0.148307501122368	0.522031879939675
ARHGAP29	0.0272130946489567	0.0861468839752047	0.687401050127404
ARHGAP35	0.0276774999785961	0.0913573284523019	0.668749015450522
ARHGEF12	0.0281566386143176	0.0977328474902793	0.648873389313251
ARHGEF25	0.0286215040960984	0.0902111524028912	0.669495922385288
ARHGEF40	0.0301367385604371	0.126753768591638	0.575388383001102
ARHGEF6	0.0350212026266861	0.184499386196464	0.463195378018608
ARHGEF7	0.0260035131225885	0.0655689110932348	0.75807239304876
ARID1A	0.0217343765925747	0.0786016707301059	0.728973285631458
ARL2BP	0.0264875356100422	0.0719874712895037	0.735381834465741
ARL5A	0.0299706051739926	0.112162221864952	0.607836971807789
ARL9	0.0259743438446984	0.0666605589148935	0.754953398351926
ARMC6	0.025854535924891	0.0654681800680228	0.758749948789621
ARNT2	0.0312942588975466	0.14648084566273	0.532493869691987
ARNT	0.0582059464549836	0.183860831978718	0.430622636171489
ARPC1A	0.0280058097729575	0.0994656952098941	0.644191824275152
ARRDC4	0.0261758212235188	0.0687043525313808	0.747670950993446
ARSD	0.0254717469088721	0.0598387600424876	0.772464479250758
ARSJ	0.027408895275561	0.0840814983570157	0.693436787203825
AR	0.0271570010987338	0.0808945211381499	0.703728109571052
ASCC3	0.934822474074485	0.944931256312059	0
ASF1A	0.0362485137328848	0.145305059528894	0.524601091466481
ASL	0.0305208186355234	0.0954506649193276	0.648624382113663
ASMT	0.0280133551088345	0.106447755489331	0.625820098767879
ASNS	0.0237385243081018	0.133536999040002	0.574639892940582
ASPH	0.021976089185372	0.0749260910731516	0.740785375615156
ASPM	0.0269452697668173	0.0813033200153572	0.703189023317809
ASPSCR1	0.0345213230465854	0.156995733181233	0.507426423308184
ASTN1	0.0255437304609019	0.0613012360843539	0.769923853722673
ATF1	0.0296563515462179	0.12372678040749	0.583176182375787
ATF2	0.0272211254243089	0.0819406430507947	0.700248858396495
ATF3	0.0398730999073295	0.233256646455728	0.38682493465953
ATF5	0.291721616146288	0.814605444430329	0
ATG10	0.0311423419348201	0.101797273961049	0.630104424043733
ATG12	0.0318461153100824	0.118363419055306	0.589345308363981
ATG14	0.0262287758895553	0.0720404557206869	0.736128758703033
ATG3	0.0265779163170461	0.076424770715684	0.720302029309057
ATG4A	0.0271192492078007	0.078026446149376	0.713313782427482
ATG5	0.0208195127193024	0.0640291551271948	0.773124400315783
ATG7	0.0284270072590673	0.0850846146796317	0.686872203932374
ATIC	0.0261450563939628	0.0681182642100775	0.750004218215498
ATOH7	0.0257968563025964	0.0631142978746156	0.765197976832514
ATP11A	0.0260734127777949	0.0667636185406072	0.754294985153525
ATP13A1	0.0321333978365356	0.111410347219155	0.604267608698049
ATP5D	0.0277385351624174	0.0948853109770492	0.658070966375266
ATP5J2	0.0442846457422245	0.217588441658055	0.40128411962873
ATP6V0A1	0.0340021736433134	0.110928473068265	0.601216812092069
ATP6V0A4	0.0203896162637595	0.0650617716741238	0.772237004631726
ATP6V1D	0.0262476153124407	0.0701914328964089	0.742520405820967
ATP6V1E1	0.999733332251615	0.980703584841973	0
ATP6V1G1	0.999999944264598	0.992363325164063	0
ATP6V1G2	0.0258066011203147	0.0631189297720216	0.765165996245401
ATP6V1G3	0.0213383661094477	0.0541998668402722	0.779028355931888
ATP8A2	0.0261212693897307	0.068582365170257	0.748224678459864
ATRAID	0.0259809698613073	0.0676502930688274	0.751934627156717
ATRNL1	0.0262594280033046	0.0692442366788621	0.745607638591519
ATRX	0.396983438316528	0.977628661885829	0
ATXN10	0.263112448353429	0.151803448754182	0.238822177420592
ATXN3	0.0364347433404253	0.10535290146746	0.608573802797361
AVEN	0.0272406647014887	0.0806720597787601	0.704224930415104
AVPI1	0.0256135768011936	0.0620662516546158	0.768176130229741
AXIN1	0.0278052652463088	0.0869212080275611	0.683031450864323
AXIN2	0.0310345392883449	0.134348476393861	0.556415374758495
AZI1	0.0267675921539649	0.0743306646399108	0.726801030935336
B3GALT4	0.999999999999991	0.276287769462933	0
B3GAT1	0.0194601606143697	0.0513691920557214	0.781266746606687
B3GAT3	0.0278534592484025	0.088175957897809	0.678520723538143
B3GNT3	0.0268532514093609	0.0736210523874541	0.728627493463826
B3GNT6	0.0260378286049419	0.067772493568109	0.75148993566826
B3GNT7	0.0810943344976113	0.44651362355798	0.152602119766185
B4GALT5	0.0339215686420034	0.147288304755344	0.525124264947065
B4GALT6	0.025993555831893	0.0675073767305549	0.752340456308475
BAAT	0.0199749511774217	0.0549732071392129	0.77937559928634
BAD	0.0312648961594506	0.125960871224688	0.57473986506139
BAGE	0.0256467080957085	0.0624834530037544	0.767075964635124
BAI1	0.0225364150123979	0.0717500541037699	0.749890883162121
BAI3	0.0301284152175973	0.117698680920902	0.594767071462539
BAK1	0.0275911040291652	0.0911352597186291	0.669788112953789
BANP	0.0186860329456121	0.0414813890131509	0.786166681975575
BARD1	0.0603686102460654	0.419362674112754	0.187273869104437
BAX	0.0260358692158385	0.0661766533583145	0.75618557652825
BBC3	0.0274747334182373	0.0929056236046347	0.664561292829417
BBS4	0.0263119433921331	0.0726435559487778	0.733840738074584
BCAR1	0.0395463048850558	0.101584978145505	0.609794617322044
BCAS1	0.0321212984145638	0.135136821027694	0.552433655733586
BCAS2	0.0190046348853686	0.0445668756105974	0.785004917092255
BCAS3	0.0273615992819268	0.085859593667679	0.687881828084036
BCAT1	0.0262463909799523	0.0684064271075355	0.748429858277192
BCCIP	0.0571348608058002	0.274741719625446	0.313308145385166
BCL10	0.0265143037938645	0.0729846143054019	0.732062575944969
BCL11A	0.0305375035256285	0.118738354949192	0.591807116076963
BCL11B	0.0249177314147763	0.0813458437959964	0.709772931973616
BCL2A1	0.0272838204807305	0.0843496518355041	0.69284705562876
BCL2L10	0.0259097462524433	0.0658203095545433	0.757517393508117
BCL2L11	0.0350597951047257	0.233657340481554	0.391805082282322
BCL2L12	0.0942125146662814	0.353476864497179	0.210340165847672
BCL2L13	0.0305488914904935	0.145822476358935	0.535487056130895
BCL2L14	0.0184284163889703	0.0537389809348002	0.780648479464767
BCL2L1	0.0139689797713785	0.0328363252693462	0.787645084370049
BCL2L2	0.0278000706935799	0.0914362956592029	0.668400830807226
BCL2	0.0123476319479386	0.0225554862486847	0.787763975963475
BCL3	0.0275582338305569	0.0865149644449301	0.685014250319971
BCL6	0.0190965134154964	0.0443154539664638	0.785091762939909
BCL7A	0.0261451307698124	0.0687739902596347	0.74758050806591
BCL7B	0.030600830981739	0.131545340379994	0.56359349578385
BCL9	0.0263664742707326	0.0684275539426702	0.747851602410553
BCLAF1	0.0205720714339993	0.0494212928627039	0.781653393376997
BCMO1	0.0257736338451771	0.0636334087210658	0.763942418565776
BDNF	0.014592519499675	0.0361936097023802	0.787532819050781
BEND2	0.0266163513248467	0.0744096607949269	0.727009113693281
BEX1	0.0281153572289269	0.0941003947859522	0.659170540831848
BID	0.0270559753725343	0.0822417144764336	0.699857827814148
BIK	0.0259009396358017	0.0665349770280331	0.755512253504069
BIN1	0.0261525785746326	0.0688327604947955	0.747334581294225
BIN3	0.235507629608228	0.146758126815978	0.264817177531957
BIRC3	0.0257674574195287	0.063728523313436	0.763671857656769
BIRC5	0.34715318270407	0.351401401324008	0.0602842123787314
BIRC6	0.0391644050145223	0.258559265184003	0.35624995155203
BIVM	0.25118541087832	0.08327291103398	0.310587478241638
BLM	0.0554746338102831	0.198593408719312	0.414436272995807
BLNK	0.0276693929384557	0.090397061564543	0.671814775622643
BLOC1S2	0.0260806247457802	0.0665584476312423	0.754917609981761
BLOC1S3	0.0188049628693883	0.0429295689438722	0.785633367275497
BMF	0.018733977771966	0.0644450254233698	0.775292498230925
BMP2	0.0262277137882184	0.0692481860766925	0.745686828673041
BMP4	0.0198620770646648	0.0723421751268905	0.756209108946573
BMP7	0.0261847439034564	0.069569436814469	0.744665341588869
BNIP1	0.0295752091325211	0.120787265757092	0.589023398562479
BNIP2	0.0263399946740535	0.0711679845743652	0.738606002476399
BNIP3L	0.0323139962147523	0.0983349436030342	0.636218119735485
BNIP3	0.0265772897074599	0.0740460956345366	0.728201574049106
BOD1	0.0342344308018826	0.184924854448546	0.463713229717609
BOK	0.0258454421679677	0.065112678667189	0.759694807910873
BORA	0.0296823068915696	0.11607686072216	0.599800334260631
BPGM	0.030562455858359	0.123844900021043	0.580780358814575
BRAT1	0.0288749435538393	0.101558886106759	0.636964414891238
BRCA1	0.0666520355713721	0.63067539733928	0.0614114575941848
BRCA2	0.0390701529129966	0.221631038675629	0.403271818865515
BRCC3	0.0261336244807852	0.0681803037839673	0.749676387142975
BRD1	0.0226852428351954	0.0719740485690412	0.748404237352136
BRE	0.0264026241557173	0.0703523147199699	0.741312026587732
BRIP1	0.0398027386282333	0.615230953848492	0.0800034588107691
BRMS1	0.0822364918811041	0.318315997778738	0.25082385264918
BSG	0.0267320912420364	0.0765178324426822	0.719651221383079
BTG1	0.0283655368603727	0.110650244158552	0.613841438930317
BTG2	0.0257084103134489	0.0634426254866843	0.764674245404506
BTG3	0.0280888976512185	0.0976929828111322	0.64940094508573
BTG4	0.0287840635193253	0.116935444130429	0.599972619232775
BUB3	0.0297594573271135	0.154170709347707	0.520901816840608
C10orf137	0.0397949850124441	0.118227648431746	0.572981874432895
C10orf90	0.0296908376511828	0.106022513515729	0.62286767783509
C11orf30	0.0869641785002375	0.301280092662319	0.25910556723548
C11orf82	0.026151384818298	0.0693020851250113	0.745713212744042
C14orf169	0.0305554335441861	0.146598588387316	0.533684390694643
C14orf178	0.496260891247923	0.284469061273434	0.0328782142798433
C15orf41	0.0273456832837967	0.109015397865209	0.621332317942901
C15orf57	0.0488629752139471	0.629126536218193	0.06977109768782
C17orf70	0.0257327173498805	0.0640087267173816	0.763008164961087
C19orf25	0.0225073199281537	0.0815874930840477	0.716689074611416
C19orf33	0.0277027105062829	0.0860640251097416	0.686155689996163
C19orf40	0.0256801945488515	0.0624877612003737	0.766981931363938
C19orf55	0.0259063836477101	0.0646609515405756	0.760842549984327
C19orf60	0.0260237720921622	0.06514276511823	0.759115385164468
C19orf66	0.0283550736012893	0.0950616547138949	0.655488979527455
C1QL1	0.0275436142720267	0.0882213791133081	0.679529828398979
C1QTNF9B	0.0227217598479447	0.0760988309206593	0.734332324476681
C1QTNF9	0.0190520610355288	0.0464459429069582	0.784039980560735
C1orf159	0.0190879259135365	0.0585356386291154	0.777975687718501
C1orf64	0.02589869274649	0.0652313224741345	0.759229291781568
C20orf96	0.0270783785069119	0.0790296987883045	0.710243116156874
C22orf29	0.0252824972528626	0.0578565609805707	0.775350302940014
C2CD4B	0.0286409129599156	0.108512493856951	0.618711570338811
C3orf14	0.021537716200732	0.0828284210576631	0.715908648063918
C6orf15	0.0329165004072023	0.147276084515272	0.527138796862481
C7	0.02719203494905	0.0881376970068165	0.681087847405115
C7orf26	0.999999982880398	0.999988578870777	0
C7orf31	0.0265919541628213	0.073507354924745	0.729692528259464
C7orf43	0.0260732021991426	0.0678157786193339	0.75110524048874
C7orf50	0.0262079159844932	0.06884870699479	0.747074995930623
CAB39	0.0216243953037575	0.0961917645033001	0.672673316673538
CABLES1	0.0186241171006833	0.0408207814285639	0.786448576911897
CABLES2	0.0265121186996642	0.0753019036396235	0.724598434843681
CACNA1F	0.221936994299463	0.256583654667593	0.188288316581118
CACNA1G	0.0205383249090133	0.0557540901592522	0.778516596625021
CACNA1H	0.0197202342639123	0.0534460289248092	0.780233536749135
CACNA2D3	0.0257701508976059	0.0634324955060343	0.764513331177902
CACUL1	0.025261812047899	0.0579752732719307	0.775215382268011
CACYBP	0.0331549372939665	0.145693616886096	0.529962425296991
CADM1	0.029840230950585	0.101839044307429	0.6337484761349
CADM4	0.0261340828808845	0.0678960587822319	0.750656394067448
CAD	0.983124073325054	0.993586029649263	0
CALCA	0.0193264152481331	0.0485690465536718	0.782707380716608
CALCR	0.0195279397964801	0.0533065165789768	0.780378250524847
CAMK2N2	0.0260380814885391	0.0685244376565103	0.74887700108859
CAMTA1	0.0256149825208152	0.0619286111906689	0.768505690079677
CAPNS2	0.025773292101246	0.0629300536696017	0.76571874595672
CARD10	0.0214814383683717	0.0535995004125493	0.779288804598522
CARD11	0.321100161321551	0.085570168459273	0.244953967584742
CARD14	0.0204379027364472	0.0597918065778711	0.777002349478917
CARD16	0.0182532703764695	0.0443721901279257	0.785304329673211
CARD17	0.0258607723521112	0.0652838915380806	0.759149572494439
CARD18	0.0253742647884784	0.0592838141967911	0.773457723297106
CARD6	0.0292710086392566	0.107341749408144	0.620464109651986
CARD8	0.0202412170098927	0.0872207652290099	0.705780204970667
CARD9	0.028395980155864	0.101174066797945	0.638880606630713
CARM1	0.0293159354498344	0.0984892917274216	0.64338501604507
CARS2	0.11039603720189	0.932936425962726	0
CARS	0.999493600923072	0.999353675579973	0
CASC5	0.0286026161911091	0.123919007763888	0.584880587150885
CASP12	0.0223440753780258	0.0528814704947811	0.779182698779868
CASP1	0.0171074076562978	0.0380487771095203	0.787213613536556
CASP3	0.0486050091715014	0.380423102249506	0.22801038537295
CASP4	0.0288126619285602	0.113645985882579	0.606393850113981
CASP5	0.0254687128802857	0.0600740285003517	0.772018915904142
CASP8AP2	0.999999768982155	0.999642403368344	0
CASP8	0.0182554964324369	0.0571985805738561	0.779095876719754
CAV1	0.0253115491827845	0.0820801454150288	0.705995045198094
CBFA2T3	0.0599228120676273	0.289544632298083	0.295021335688438
CBFB	0.158683887660676	0.29528617107694	0.20663581723599
CBL	0.0834107410781788	0.21088264269689	0.359995046310581
CBX4	0.0261378231321513	0.0678430983348595	0.750793770861992
CCAR1	0.999258359272034	0.795585751164623	0
CCAR2	0.0444644077075557	0.407485426539645	0.208001824398328
CCDC103	0.026892976079077	0.0761911669249413	0.720114031296593
CCDC176	0.0402087530273882	0.219341872521188	0.405133589792156
CCDC6	0.0335826076625814	0.156175879406521	0.510879637339457
CCKBR	0.0324248891254393	0.233123321446873	0.396812697829738
CCK	0.207688859928346	0.0660785248716472	0.386123260529961
CCL18	0.0268131842996425	0.0774691931046764	0.71619309085754
CCL21	0.0282640203872185	0.105923509818518	0.626875904102692
CCL22	0.0255514682313906	0.0617598951061281	0.768997833652862
CCL2	0.0376910206755907	0.281113057051613	0.326742610325691
CCL3	0.0267003763525291	0.0781863918471173	0.714113403151292
CCL4	0.027289485268775	0.0843721916982403	0.692803247731918
CCL5	0.025594250654269	0.0626526376136981	0.766814532512386
CCNA1	0.0259158998825189	0.0661499582721251	0.756573099187089
CCNA2	0.0377694665244606	0.221624653474104	0.405351773751311
CCNB1IP1	0.0177603216123499	0.0523805077342973	0.781566377094686
CCNB1	0.0299659694542209	0.146098492815192	0.535919552522668
CCNB2	0.0257866957410368	0.0649755096726308	0.760293019628306
CCNB3	0.0192069386895392	0.0485702218065344	0.782765380794113
CCNC	0.403384265838502	0.992935399419005	0
CCND1	0.0278388308483003	0.0925575584741953	0.664450639025242
CCND2	0.02954182174387	0.117933038948072	0.595742184709209
CCND3	0.207010626083177	0.926604080120443	0
CCNE1	0.0265707884179529	0.0749801766410872	0.725429898450072
CCNE2	0.022190574289816	0.107904198802537	0.637639570487721
CCNF	0.0290307896608217	0.111437195932996	0.610805485814548
CCNG1	0.0285938618222859	0.0950449992689475	0.654895070795136
CCNG2	0.0206037230454614	0.0640022653672413	0.77357508367108
CCNH	0.0396168528814181	0.182827835728815	0.459276035268276
CCNI	0.0289752641115294	0.0965715522008983	0.65017280268824
CCNJ	0.0262872667520153	0.0720103679287095	0.736026579994385
CCNK	0.999999478363521	0.997066429427922	0
CCNL1	0.0296218073291323	0.0986468748756542	0.642149751339092
CCNO	0.044461256768424	0.242082735523982	0.369106156812202
CCNT1	0.998267723604408	0.999432216800265	0
CCNT2	0.0279657296301973	0.084553259594023	0.690122240237987
CCNY	0.0321217581220514	0.177764505682264	0.477443156639029
CCP110	0.0334014996197429	0.121192897233789	0.580297050595171
CCPG1	0.0294541663401358	0.106654732032404	0.621970787889026
CCR1	0.0256951815237791	0.0631571260845156	0.765368348543199
CCZ1B	0.0265146043601701	0.072953038285216	0.732184139789579
CCZ1	0.0268770633431537	0.0728545207459107	0.731238074254037
CD109	0.026499298103286	0.191073934431787	0.466795674209171
CD160	0.0265633312990056	0.0798877250349185	0.709130209644315
CD180	0.0256084703156368	0.0619768534156473	0.768371950964415
CD19	0.0265943530269663	0.0738525286608362	0.7286589755094
CD27	0.0436147785675253	0.192667997333397	0.438683128783777
CD28	0.0308242797001794	0.140071412206691	0.545147554112583
