gene	avgTPM	avgFPKM
Sox9	0.04	0.06
Hnrnpd	15.45	25.955
Dynlt1c	5.905	10.18
C1d	9.195	15.55
Gm2a	3.38	5.84
Krit1	1.96	3.315
Clcn4	1.265	2.145
Vmn2r88	0	0.005
Grm6	0.155	0.26
Sema4f	0.6	1.025
Hk2	40.345	69.17
Myo18a	8.14	13.99
Sez6	0.105	0.18
Haao	0.055	0.095
Cd52	1.65	2.705
Abhd15	0.35	0.595
Hoxb6	0.05	0.085
Loxl3	0.445	0.755
Tcl1b5	0	0
Btn1a1	0.085	0.14
Kat2b	6.285	10.775
Rab5b	5.27	8.9
Cryba1	0.04	0.075
Dnmt3l	76.32	129.565
Aire	16.43	28.19
Icosl	5.16	8.805
Spg7	27.69	47.62
Sult5a1	0.675	1.145
Rpl13	584.83	994.46
Chmp1a	16.67	28.26
Rpa1	55.795	93.96
Serpinf1	4.905	8.39
Tubgcp3	5.26	8.985
Oprm1	0	0
Polr3d	5.45	9.38
Tcf7	1.745	2.98
Ddx3x	48.2	81.56
Il12rb1	0.125	0.21
Slc5a5	0.63	1.07
Kcnn3	0.05	0.08
Usp32	4.095	6.985
Car4	3.66	6.235
Txnrd3	1.06	1.81
Fasl	0.055	0.1
Zfp512b	9.455	16.23
Dnajc5	18.09	30.93
Tpd52l2	24.985	42.545
Fmr1	7.52	12.76
Bcl11a	0.695	1.185
Il4	0	0
Pxmp4	2.005	3.43
Dlg3	3.325	5.635
Gnb1l	2.235	3.82
Dbh	0	0
Mmp11	19.16	33.43
Smarcb1	17.02	28.93
Vpreb3	0.255	0.44
Hip1r	3.79	6.585
Nsun5	9.675	16.625
Top1mt	2.045	3.5
Hoxa10	0.115	0.18
Hoxa4	0.015	0.025
Gm38393	18.295	30.865
Mmp14	9.48	16.5
Slc7a7	23.52	41.265
Oxa1l	7.34	12.78
Heatr6	3.805	6.51
Ccl3	0.26	0.445
Wfdc18	0	0
Icam4	0.385	0.665
Ilf2	24.69	41.935
Chtop	20.935	35.44
Snapin	6.44	10.89
S100a4	0.99	1.635
S100a3	0.25	0.425
S100a5	0	0
S100a6	73.62	123.74
Scn4a	0.03	0.055
Icam2	0.14	0.23
Mapk7	5.435	9.26
Epn2	6.715	11.405
B9d1	19.025	32.64
Sec24b	8.15	13.95
N4bp3	6.965	12.05
Rmnd5b	14.095	24.535
Nhp2	98.25	167.535
Vps9d1	2.76	4.745
Zfp276	3.56	6.11
C1ql4	0.815	1.38
Mfsd10	49.33	85.435
Luzp1	8.08	13.715
Slc13a2	0.025	0.04
Kctd10	16.755	28.175
Poldip2	18.765	31.985
Sebox	0.065	0.11
Ift20	11.265	19.075
Col6a1	0.715	1.19
Pcbp3	1.75	2.995
Lgals9	1.36	2.28
Araf	18.255	31.23
Cfp	1.435	2.49
Timp1	23.55	39.76
Uxt	9.165	15.65
Cnnm3	8.58	14.83
Lman2l	2.57	4.355
Mcm3ap	9.565	16.345
Pcnt	18.475	31.61
Ftcd	0.015	0.035
Mxd1	0.555	0.945
Gmcl1	3.235	5.47
Snrnp27	12.145	20.595
Oas1c	0.3	0.515
Oas1h	0.005	0.01
Ocrl	1.415	2.395
Calm1	106.81	180.715
Agpat3	10.67	18.165
Slc26a3	0.005	0.01
Sema6b	0.995	1.735
Uhrf1	52.765	90.2
Dpp9	5.165	8.795
Ramp2	0.985	1.67
Lsr	15.97	27.655
Gramd1a	12.04	20.75
Hpn	4.395	7.61
Gabrg1	0.01	0.015
Ckb	67.9	115.465
Sp1	27.465	46.95
Itgb7	8.685	15.22
Myg1	21.925	37.105
Rarg	22.985	39.06
Pfdn5	41.625	70.105
Efnb2	7.065	12.025
Rrp15	17.17	29.035
Rnd2	2.07	3.515
Srr	0.65	1.105
Sync	0.43	0.735
Fndc5	0.29	0.49
Acp5	3.4	5.83
Cnn1	2.515	4.205
Fbxo9	4.955	8.37
Vps50	7.85	13.36
Hars	18.09	30.595
Zmat2	7.935	13.41
Ube2c	29.65	50.165
Smg5	41.275	70.905
Cct3	172.385	292.995
Glmp	39.55	68.065
Mef2d	2.06	3.505
Tmem79	6.705	11.575
Snd1	81.245	140.655
Col18a1	108.81	188.325
Slc19a1	8.47	14.575
Kpnb1	69.415	117.415
Npepps	20.08	34.425
Tbx21	0.06	0.1
Mrpl10	13.445	22.775
Cyp51	13.52	23.165
Tcf25	18.91	32.045
Tubb6	43.195	72.88
Def8	7.405	12.575
Meox1	0.07	0.125
Sost	0.01	0.015
Nkx2-1	0.005	0.005
Pax9	0.035	0.065
Irx2	0.85	1.42
Col1a1	18.025	29.93
Itga3	48.94	83.76
Sgca	0.08	0.14
Dlx3	0.075	0.12
Foxm1	6.235	10.735
Itfg2	4.43	7.58
Nrip2	0.07	0.12
Tulp3	2.36	4.01
Gtf2h4	15.66	26.8
Tubb5	249.665	424.655
Ell2	3.18	5.415
Jup	21.39	36.415
Fkbp10	17.94	30.865
Klhl10	0.47	0.815
Mnx1	0.025	0.04
Nom1	6.15	10.495
Ergic1	23.295	39.965
Tnk1	1.19	2.08
Acap1	2.515	4.335
Tcea3	18.695	32.13
Csn3	0.4	0.68
Ifrd1	22.03	37.245
Stk38l	3.105	5.275
Brpf1	8.45	14.445
Akr1b3	77.85	131.765
Hoxc13	0.15	0.25
Hoxc11	0.005	0.01
Hoxc8	0.035	0.05
Hoxc6	0.095	0.16
Gstt1	1.69	2.925
Gstt3	0.84	1.445
Ddt	17.385	29.595
Tat	0.015	0.025
Marveld3	0.605	1.055
Ddx18	23.645	40.195
Ubl3	16.275	27.875
Gramd3	0.785	1.325
Eef1e1	19.225	32.415
Akt1	11.37	19.245
Cldn15	0.245	0.415
Il16	0.06	0.105
Tcirg1	13.41	23.05
Naglu	1.43	2.475
Coasy	4.69	8.015
Smo	5.355	9.145
Tspan33	1.42	2.44
Crnkl1	7.425	12.65
Rin2	0.635	1.07
Folh1	0.075	0.12
Chordc1	9.94	16.75
Rtcb	25.425	42.96
Pwp1	14.61	24.755
Fbxo7	3.86	6.605
Capns1	33.445	57.015
Lrp3	0.86	1.48
Dsg4	0.005	0.015
Evx2	0.005	0.005
Hoxd13	0.145	0.235
Hoxd12	0.005	0.01
Folr1	118.57	202.325
Clpb	54.17	93.635
Sept7	15.48	25.95
Zdhhc4	6.02	10.28
Rac1	19.315	32.74
Nup214	16.245	27.705
Aif1l	7.515	12.515
Cpa3	0	0
Ltbp1	4.895	8.32
Ugp2	3.54	5.905
Kcnh6	0.325	0.55
Trmt1	62.77	107.57
Nacc1	17.13	29.11
Nfix	0.165	0.27
Slc1a5	21.68	37.735
Uba1	33.48	56.83
Vwf	1.01	1.755
Siae	1.875	3.225
Vsig2	0.555	0.95
Esam	1.42	2.43
Spa17	0.34	0.565
Fam50a	6.555	11.115
Emd	11.96	20.215
Taco1	3.23	5.465
Grik3	2.44	4.185
Gria3	0.68	1.135
Npas1	0.065	0.12
Sipa1l2	3.465	5.88
Ap4e1	2.77	4.69
Blvra	1.97	3.3
Pdzd4	15.73	27.2
Srpk3	0.28	0.48
Idh3g	38.055	65.115
Pnck	0.71	1.23
Ssr4	61.93	105.62
Bcap31	58.58	100.49
Fam98a	5.46	9.26
Ltbp2	0.39	0.675
Kmt2a	5.215	8.915
Ift46	11.785	19.945
Tmem25	0.125	0.215
Cd3g	0.03	0.05
Trappc6a	8.455	14.62
Supt6	12.845	21.88
Spag5	15.69	27.1
Foxn1	0	0.005
Unc119	4.985	8.48
Rab34	7.445	12.665
Sdf2	21.275	36.655
Ccne1	49.195	84.65
Hsf2bp	10.73	18.325
Bbc3	5.885	10.155
Mybpc3	0.16	0.275
Psmc3	52.96	89.925
Acp2	3.465	5.97
Rapsn	0.355	0.615
Slc39a13	4.055	6.92
Celf2	0.825	1.41
Nr1h3	0.255	0.425
Ddb2	2.275	3.885
Spi1	0.07	0.12
Sf3a1	11.285	19.17
Stat6	4.625	7.955
Clgn	3.535	5.975
Napsa	6.03	10.605
Vrk3	4.465	7.655
Smg9	6.36	10.935
Paxip1	5.27	8.985
Rmnd5a	10.09	17.15
Mov10	9.29	15.995
Ppm1j	5.03	8.77
Rhoc	17.395	29.355
Prr27	0.005	0.01
Tead3	1.595	2.725
Ppard	1.705	2.94
Def6	3.59	6.15
Peg3	12.35	20.555
Zim1	0.235	0.395
Metrn	8.27	14.155
Lmf1	5.66	9.8
Narfl	5.665	9.69
Angptl4	7.3	12.525
Dbf4	20.185	34.385
Daxx	13.9	23.635
Cd320	38.75	66.935
Ipo4	14.875	25.82
Tm9sf1	12.48	21.615
Rec8	1.54	2.66
Irf9	2.395	4.195
Gmpr2	3.405	5.825
Mdp1	2.43	4.18
Dhrs1	2.73	4.73
Ncan	1.38	2.405
Tmem161a	20.22	34.86
Armc6	12.79	21.78
Borcs8	6.56	11.205
Slc25a42	1.385	2.37
Snx9	1.795	3.06
Ranbp3	23.535	40.17
Ndufa11	16.975	29.065
Bmp8b	1.73	2.965
Nr2f6	12.135	20.79
Use1	26.67	45.765
Ocel1	1.76	3.025
Dyrk1b	1.05	1.81
Braf	11.5	19.605
Ndufb2	24.775	42.1
Hltf	4.66	7.94
Prpf6	13.485	22.91
Rgs19	6.47	11.055
Rgs20	0.085	0.155
Abhd3	0.47	0.805
Snrpd1	27.23	45.745
Tchp	5.06	8.725
Tiam1	3.86	6.635
Tsc2	7.32	12.505
Rpl3l	0.095	0.15
Slc9a3r2	2.85	4.795
Puf60	31.835	54
Golga2	9.755	16.705
Uck1	11.205	19.16
Scin	0.055	0.095
Ikzf4	0.33	0.56
Mien1	9.395	15.845
Pon1	0.005	0.01
Axl	9.405	15.745
Tgfb1	1.26	2.145
Ccdc97	4.6	7.82
Zfp40	0.98	1.69
Akap8l	10.985	19.02
Shh	0.005	0.01
Pdcd2l	12.16	20.845
Gtf2f1	18.51	31.285
Clpp	30.325	51.655
Alkbh7	8.06	13.72
Pspn	0	0
Dennd1c	0.055	0.095
Med6	12.075	20.415
Prkd1	0.485	0.81
Lcp2	0.01	0.015
Cse1l	24.095	40.655
Naa20	18.18	30.92
Prkra	2.295	3.875
Fkbp7	1.445	2.475
Plekha3	3.64	6.17
Ykt6	14.48	24.61
Baz1b	13.735	23.36
Pex6	4.195	7.19
Mrpl2	48.55	83.285
Mea1	13.985	23.81
Gnmt	0.55	0.965
Grin2d	0.15	0.26
Kdelr1	17.395	29.79
Tmem143	6.46	11.09
Pdxk-ps	0.02	0.035
Ggct	2.885	4.84
Jag2	10.375	18.09
Btbd6	2.255	3.865
Nudt14	4.88	8.385
Epdr1	2.37	4.075
Flii	12.055	20.495
Top3a	4.22	7.195
Atg4d	4.005	6.875
Qtrt1	10.24	17.58
Plin4	0.105	0.18
Hdgfl2	22.615	38.65
Chaf1a	15.995	27.29
Adprh	31.52	54.035
Tmem39a	28.97	49.515
Timmdc1	6.67	11.455
Pla1a	1.14	1.955
Mcm2	43.2	73.415
Tpra1	8.315	14.395
Nab1	2.86	4.865
Adgre5	23.625	40.665
Il17ra	1.77	3.02
Lamb1	58.34	100.065
Kcnn1	0.465	0.8
Arrdc2	1.43	2.47
Ppp1r17	0.005	0.005
Cd36	0.065	0.105
Map2k7	4.895	8.325
Timm44	15.445	26.395
Ap2a2	20.105	34.23
Pnkp	9.36	16.26
Med25	11.79	20.21
Bcam	49.485	85.655
Clptm1	19.57	33.525
Relb	2.745	4.69
Tomm40	72.99	124.635
Apoe	283.345	496.13
Apoc2	0.075	0.13
Hbp1	10.655	18.245
Prkar2b	0.65	1.11
Cdkn1b	2.5	4.3
Klf4	16.705	28.865
Ap1m1	3.895	6.595
Rab8a	13.81	23.35
Hmgn2	43.985	74.835
Fam32a	9.69	16.345
Elf3	2.435	4.12
Cyp2c29	0.01	0.02
Stard3nl	11.5	19.685
Stk11	25.83	44.33
Efna2	0.635	1.09
Atp5d	46.965	79.975
Ppp5c	24.925	42.625
Cdk12	14.035	23.875
Lipe	0.865	1.485
Pafah1b2	5.26	8.87
Tbc1d8	1.84	3.19
Cnot11	4.195	7.115
Slc2a3	310.49	539.56
Foxj2	0.33	0.555
Sri	17.74	30
Dgcr2	19.635	33.785
Irf3	9.165	15.815
Bcl2l12	2.71	4.605
Zfp959	0.92	1.56
Mpnd	10.12	17.47
Sh3gl1	14.385	24.475
Ebi3	0.125	0.21
Yju2	2.66	4.55
Ranbp2	24.9	42.33
Edar	0.01	0.025
Grk5	0.56	0.95
Dvl3	2.415	4.105
Abcf3	9.27	15.83
Eif2b5	28.68	48.87
Cyth2	15.76	26.77
Sult2b1	0.38	0.65
Car11	1.26	2.19
Dlgap1	0.12	0.21
Plag1	2.69	4.68
Hck	8.805	15.275
Mrpl4	15.395	26.255
Keap1	5.42	9.195
Ap1m2	2.39	4.13
Glg1	24.635	42.405
Atp8b3	0.3	0.525
Btbd2	11.71	20.135
Csnk1g2	22.9	39.145
Abhd17a	13.95	23.805
Mob3a	4.51	7.595
Cacnb3	5.31	9
Ccdc65	0.11	0.185
Fkbp11	22.695	38.815
Ddx23	30.08	51.28
Pld3	19.75	34.11
Grik5	1.62	2.76
Cd79a	0.3	0.515
Rabac1	49.67	85.64
Etv3	1.775	3.015
Prkcsh	58.725	101.395
Elavl3	0.56	0.96
Rab3b	0.825	1.385
St8sia6	0.38	0.635
Fcgrt	2.46	4.23
Nosip	25.68	43.645
Pih1d1	14.635	24.93
Rps11	400.26	682.26
Supt5	14.72	25.105
Dll3	2.215	3.905
Paf1	16.345	27.815
Timm50	29.05	49.855
Med29	9.21	15.555
Bicd1	1.965	3.385
Ncstn	10.41	17.92
Pex19	18.975	32.485
Phyhip	0.24	0.415
Crhr2	0.18	0.3
Inmt	0	0
Cyp4f18	0.05	0.09
Impdh1	6.34	10.745
Psg18	0	0
Dusp3	3.035	5.155
Prodh	10.02	17.325
Ess2	3.14	5.36
Slc25a1	22.655	38.695
Dgcr6	5.515	9.355
Ddr1	12.99	22.44
Ier3	6.56	11.155
Fosb	0.47	0.805
Klc4	3.955	6.78
Ercc1	10.075	17.16
Cyp17a1	0.015	0.025
As3mt	1.9	3.22
Homer3	7.82	13.365
Crtc1	0.87	1.47
Rnf215	5.025	8.655
Sec14l2	1.765	3.025
Aven	4.165	7.02
Cp	0.055	0.085
Crot	2.71	4.585
Rps6ka1	18.48	31.61
Calb2	0.63	1.065
Snrnp200	35.22	60.33
Ciao1	17.9	30.31
Has1	0.055	0.1
Taf6l	13.99	23.89
Insig2	6.57	11.265
Kpna6	7.935	13.415
Man1a	1.855	3.155
Itpkc	2.295	3.925
Coq8b	3.135	5.4
Brd8	19.525	33.415
Kif20a	19.49	33.08
Farsa	27.14	46.395
Gcdh	10.37	17.85
Mast2	5.69	9.66
Dnase2a	5.7	9.77
Rad23a	16.735	28.51
Calr	263.53	451.46
Syce2	8.385	14.22
Nfat5	5.385	9.17
Nob1	17.92	30.575
Nqo1	2.37	4.005
Ppfia3	2.15	3.72
Gys1	5.54	9.455
Ruvbl2	43.465	74.31
Lin7b	1.745	3.025
Bax	77.4	132.925
Il7r	0	0
Tfam	15.045	25.57
Zfp81	0.865	1.485
Efnb3	0.675	1.14
Mmd	2.415	4.01
Hlf	0.335	0.575
Fam162a	25.34	43.74
Rpl8	731.24	1241.89
Grm3	0.005	0.01
Ssbp2	1.3	2.185
Fancl	4.4	7.475
Brinp2	0.235	0.395
Gstm5	3.565	6
Gstm7	0.3	0.505
Gstm3	0.08	0.15
Stat3	15.24	26.135
Stat5a	0.37	0.63
Cavin1	5.415	9.085
Map3k11	2.74	4.645
Akt2	9.295	15.82
Dnaja3	10.505	17.835
Hmox2	7.035	11.89
Cdip1	6.175	10.44
Map3k20	3.995	6.78
Cwc15	17.145	28.86
Col5a3	0.49	0.835
Dnmt1	23.19	39.495
Ppan	66.96	115.645
Angptl2	0.86	1.44
Cacna1e	0.06	0.105
Cacna1b	0.755	1.31
Trmt10a	3.725	6.33
Etv1	4.64	7.93
Kifc2	0.79	1.38
Psap	84.525	144.8
Ikbkg	4.5	7.745
Pax2	0.015	0.025
Wars2	0.955	1.615
Atn1	1.475	2.47
Phb2	119.995	205.21
Ptpn6	3.35	5.705
Eno2	3.03	5.225
Emg1	65.945	111.93
Lpcat3	18.615	32.1
Atp6v1f	37.705	64.2
Il12b	0.005	0.005
Clcn5	8.875	15.085
Clcn3	16.435	28.16
Hif3a	0.73	1.275
Gpx6	0.495	0.84
Gpx5	0	0
Pde1c	0.02	0.04
Utp20	20.625	35.35
Spic	0.725	1.23
9330159F19Rik	0.31	0.53
Cul3	15.2	25.615
Sst	0.045	0.08
Il11	0.37	0.62
Large1	3.48	5.98
Ddx56	38.99	66.74
Tmed4	19.16	32.83
Col26a1	0.9	1.56
Bid	5.21	8.935
Ralb	5.55	9.37
Ppp1cc	55.495	94.405
Dnajb11	30.855	52.48
Tbccd1	1.875	3.19
Clec11a	0.64	1.1
Zfp324	1.09	1.855
Gab2	0.18	0.3
Coro1c	35.88	60.935
Tax1bp1	13.24	22.325
Psg17	0	0
Psg19	0.005	0.01
Ctse	0.005	0.01
Ndrg2	1.54	2.69
Mettl17	6.3	10.92
Arhgef40	2.56	4.395
Pnpla6	22.87	39.435
Mcoln1	13.06	22.585
Arhgef18	8.12	13.895
Pkn2	29	49.69
Cd33	0.01	0.02
Etfb	26.75	45.58
Nkg7	0.055	0.095
Stxbp2	9.55	16.385
Pcp2	0.175	0.3
Sgce	2.9	4.855
Chn2	1.31	2.225
Wwox	2.915	4.995
Slbp	26.865	45.51
Tyr	0	0
Ghrhr	0	0
Aqp1	0.045	0.07
Arid3b	4.74	8.05
Cnn2	27.845	46.845
Polr2e	59.27	100.81
Abca13	0.11	0.19
Myo9b	4.86	8.28
Hdac9	0.065	0.12
Ly9	0.015	0.03
Cd244a	0	0
Adgre1	0.01	0.02
Mtfp1	3.44	5.93
Rab23	4.49	7.65
Rab11a	15.655	26.4
Eif2b2	25.99	44.065
Dlst	14.76	25.055
Pgf	1.045	1.745
Ulk2	0.82	1.39
Ccl24	0	0
Dgkq	7.59	13.14
Tmed11	0	0
Grap	0.19	0.315
Pou1f1	0	0
Chmp2b	2.22	3.73
Plod3	33.12	56.975
Ap1s1	21.675	36.54
Mapk13	2.365	4.09
Srpk1	22.07	37.465
Pax3	0.105	0.17
Lbr	67.36	116.39
Crabp2	3.18	5.335
Nes	5.54	9.375
Bcan	0.42	0.725
Hapln2	0	0
Prcc	10.085	17.075
Rrnad1	5.13	8.77
Hdgf	69.755	118.9
Slc25a18	0.185	0.315
Thop1	35.165	60.115
Apba3	8.18	14.005
Matk	0.6	1.055
Pias4	9.86	16.925
Map2k1	14.395	24.44
Sgta	17.105	29.085
Nmrk2	0.01	0.015
Tmem242	11.21	18.935
Dtx2	5.405	9.2
Zp3	3.02	5.175
Hspb1	163.53	276.52
Rasa4	3.905	6.705
Syt5	0.785	1.37
Hnrnpa2b1	60.315	101.805
Fxyd4	0.07	0.12
Ccdc130	2.975	5.045
Mri1	9.615	16.595
Prkacb	3.75	6.4
Sgsh	0.92	1.58
Chd5	0.895	1.55
Cstb	28.13	47.58
Sh2b2	0.475	0.815
Pex5	7.465	12.72
Jkamp	8.7	14.975
Cd44	1.975	3.265
Slc1a2	0.1	0.17
Eif2ak4	1.985	3.41
Wdr1	33.375	56.255
Slc2a9	0.155	0.265
Wisp1	3.38	5.635
Ndrg1	1.735	2.935
4930550C14Rik	0.16	0.27
Man2b1	9.005	15.615
Klf5	5.735	9.925
Wdr83	6.155	10.55
Prdx2	75	126.51
Polr2a	15.445	26.31
Shbg	0.01	0.015
Senp3	56.45	96.16
Corin	0.075	0.13
Plekha8	4.625	7.855
G6pc2	0.08	0.135
Spc25	11.75	19.83
Dnah2	0.32	0.55
Ripk4	1.865	3.195
Ufd1	10.75	18.275
Zfp287	0.63	1.055
Prlr	0.16	0.265
Letm1	5.6	9.615
Ubqln1	15.81	26.67
Fgfr4	0.45	0.78
Cadm3	0.225	0.38
Fcer1a	0	0
Txn2	19.28	32.865
Casp14	0.03	0.05
Slc1a6	0.315	0.545
Slc1a3	5.19	8.98
Crbn	7.46	12.705
Il5ra	0.02	0.035
Msh6	49.08	83.385
Fbxo11	4.31	7.31
Mlxipl	1.705	2.96
Tbl2	16.375	28.34
Bud23	22.64	38.585
Nid1	27.165	46.305
Mcm5	44.59	75.915
Hmox1	25.11	42.615
Mprip	27.765	47
Cic	15.115	25.72
Pafah1b3	16.595	28.375
Il27ra	0.425	0.755
Prkaca	5.175	8.71
Asf1b	8.24	13.915
Myl10	0.01	0.015
Ddx39	64.175	108.935
Dnajb1	7.445	12.605
Msh4	0.35	0.6
Usp40	2.09	3.545
Evx1	0.09	0.15
Kbtbd4	3.405	5.745
Celf1	14.505	24.625
Ndufs3	22.74	38.745
Por	29.97	51.315
Igf1r	7.49	12.9
Insr	2.13	3.67
Fcer2a	0.035	0.05
Cyp2a5	0	0
Atp4a	0.59	1.04
Trim28	534.315	911.32
Ube2m	22.705	38.56
Adcy9	1.405	2.425
Mef2c	0.055	0.09
Ctr9	13.495	22.85
Eif4g2	124.46	211.07
Mrvi1	0.05	0.085
Pcyt1a	3.065	5.2
Zfp592	1.605	2.715
Psmd4	58.895	100.075
Tmod4	0.07	0.11
Insrr	0.03	0.045
Cabp5	0.03	0.05
Snx6	7.525	12.66
Mthfd2	15.315	26.15
Kit	10.63	18.385
Tomm40l	5.46	9.24
Nr1i3	0.195	0.335
Apoa2	0.305	0.525
Pan2	4.135	7.075
Cs	25.545	43.205
Ampd3	0.8	1.395
Bcas2	20.64	35.005
Sh2d1a	0.01	0.02
Ctcf	12.54	21.235
Pard6a	1.96	3.335
Agrp	0.18	0.315
Pvalb	0.01	0.015
Tfap4	3.18	5.44
Ranbp1	76.905	130.105
Cd247	1.585	2.73
Rfx5	1.625	2.795
Psmb4	93.51	158.505
Mmp8	0	0
Slc30a4	1.575	2.65
Sqor	0.165	0.28
Bloc1s6	2.185	3.68
Metap1	10.33	17.48
Gpr108	5.85	10.05
Tnfsf14	0.015	0.025
Gata6	0.605	1
Rsl1d1	39.825	67.545
Cnga2	0.03	0.05
Apc	13.965	23.91
Reep5	3.96	6.7
Ergic3	36.57	62.955
Uqcc1	15.305	26.25
Spo11	0.02	0.03
Ncoa2	3.53	6.08
Prl4a1	0.065	0.11
Trh	191.255	334.32
Nr2c2	4.95	8.495
Nr2c1	1.625	2.78
Smpd4	27.42	46.775
Pex1	1.7	2.91
Otx1	0.015	0.02
Kctd20	9.09	15.38
Itgae	0.135	0.23
Ctns	3.995	6.86
P2rx5	0.375	0.645
Shpk	0.385	0.65
Trpv1	0.04	0.075
Ephb3	7.13	12.365
Tuft1	1.255	2.15
Rcn1	15.425	26.27
Dnase1	0.225	0.385
Trap1	34.39	58.77
Naa60	3.655	6.225
1700037C18Rik	0.36	0.615
Ankrd13d	1.47	2.53
Tyrp1	0.02	0.025
Tpr	49.57	84.275
Pdc	0	0
Odr4	8.47	14.435
Prg4	0.045	0.075
Dhx34	2.005	3.445
Kptn	3.715	6.375
Napa	24.13	40.995
Sra1	19.34	32.725
Calcoco2	20.725	34.085
Atp5g1	180.99	306.38
Snf8	14.195	23.935
Tbcb	33.615	57.48
Inpp5k	2.76	4.725
Crkl	5.63	9.57
Upk3bl	0.755	1.315
Eps8l1	0.05	0.09
Clint1	7.685	13.015
Prss16	0.56	0.955
Cdkal1	4.52	7.715
Rhox6	5.715	9.53
5430419D17Rik	0.01	0.01
Htra1	16.955	28.795
Zbtb17	6.965	11.935
Clcnkb	0.62	1.085
Fam131c	0.505	0.865
Fblim1	19.33	33.305
Hspb7	0.005	0.015
Epor	0.435	0.755
Ccdc159	0.255	0.435
Mob1b	2.12	3.57
Atp6v1b1	0	0
Vax1	0	0
Atp6v1b2	14.425	24.46
Eps15l1	5.52	9.395
Tep1	1.12	1.945
Ttc5	7.525	13.055
Osgep	5.58	9.665
Aamp	28.225	48.025
Tmbim1	8.51	14.54
Arpc2	18.115	30.585
Kmt2b	18.025	30.96
Zbtb32	4.715	8.07
Etv2	0.39	0.655
Upk1a	0.505	0.865
Tmem147	27.085	46.32
Rps9	479.22	815.47
Tfpt	5.65	9.6
Susd2	2.845	4.93
Ggt5	0.08	0.14
Ggt1	6.315	10.855
Crip2	10.26	17.405
Crip1	39.655	67.95
Cbfa2t3	0.075	0.13
Fbln1	22.945	39.285
Pgrmc1	44.16	75.57
Gcat	7.345	12.64
Tek	2.56	4.415
Mpl	0	0
Elovl1	7.645	13.045
Med8	14.11	23.895
Hyi	1.255	2.145
Cdc20	63.7	108.885
Adamts4	0.895	1.52
Nectin4	0.505	0.875
Pfdn2	9.345	15.885
Rnf114	9.23	15.66
C330007P06Rik	6.185	10.52
Neurl1a	1.695	2.91
Srm	38.265	65.54
Epha2	78.42	136.005
Rbm14	15.615	26.675
Actn3	14.47	25.06
A530013C23Rik	0.015	0.025
Zdhhc24	3.025	5.19
Bbs1	0.64	1.095
Slc34a3	0.245	0.435
Ndor1	20.02	34.685
Nsmf	2.09	3.57
Prl7a1	0.035	0.06
Prl8a9	0.01	0.015
Pdk1	17.22	29.68
Ptbp1	91.32	155.485
